Time (sec),SetpointLivingZone,Text.T
1206000,16,2.56667
1206900,16,2.56
1207800,16,2.55333
1208700,16,2.54667
1209600,16,2.54
1210500,16,2.53333
1211400,16,2.52667
1212300,16,2.52
1213200,16,2.51333
1214100,16,2.50667
1215000,16,2.5
1215900,16,2.49332
1216800,16,2.48661
1217700,16,2.47988
1218600,16,2.47313
1219500,16,2.46635
1220400,16,2.45955
1221300,16,2.45273
1222200,16,2.4459
1223100,16,2.43904
1224000,16,2.43218
1224900,16,2.42529
1225800,16,2.4184
1226700,16,2.41149
1227600,16,2.40458
1228500,16,2.39766
1229400,16,2.39073
1230300,16,2.38379
1231200,16,2.37685
1232100,16,2.36991
1233000,16,2.36296
1233900,16,2.35602
1234800,21,2.34908
1235700,21,2.34214
1236600,21,2.3352
1237500,21,2.32827
1238400,21,2.32135
1239300,21,2.31443
1240200,21,2.30753
1241100,21,2.30063
1242000,21,2.29375
1242900,21,2.28688
1243800,21,2.28003
1244700,21,2.27319
1245600,21,2.26638
1246500,21,2.25958
